RANK,COMPANY,CATEGORY,USA SALES,AVG SALES PER UNIT,FRANCHISED UNITS,COMPANY UNITS,TOTAL UNITS,CHANGE IN UNITS VS PRIOR YEAR
1,MCDONALD'S,BURGER,40518,2944,13025,657,13682,-164
2,STARBUCKS,SNACK,18750,1235,6387,8941,15328,287
3,CHICK-FIL-A,CHICKEN,12800,5013,2589,18,2607,107
4,TACO BELL,GLOBAL,11000,1648,6324,475,6799,33
5,WENDY'S,BURGER,10231,1725,5520,361,5881,29
6,BURGER KING,BURGER,9657,1414,7029,52,7081,-265
7,DUNKIN',SNACK,8762,930,9083,0,9083,-547
8,SUBWAY,SANDWICH,8318,375,22190,0,22190,-1612
9,DOMINO'S,PIZZA,8287,1328,5992,363,6355,229
10,CHIPOTLE,GLOBAL,5985,2200,0,2750,2750,150
11,SONIC DRIVE-IN,BURGER,5680,1611,3255,271,3526,0
12,PANERA BREAD,SANDWICH,5500,2500,1196,979,2175,-50
13,PIZZA HUT,PIZZA,5400,938,6539,22,6561,-745
14,KFC,CHICKEN,4700,1305,3896,47,3943,-122
15,POPEYES LOUISIANA KITCHEN,CHICKEN,4587,1920,2593,41,2634,135
16,ARBY'S,SANDWICH,4215,1273,2176,1193,3369,10
17,LITTLE CAESARS,PIZZA,4000,940,3629,582,4211,-2
18,DAIRY QUEEN,SNACK,3978,912,4359,2,4361,-20
19,PANDA EXPRESS,GLOBAL,3817,1915,150,2113,2263,79
20,JACK IN THE BOX,BURGER,3673,1660,2097,144,2241,-2
21,PAPA JOHN'S,PIZZA,3198,1008,2546,588,3134,-8
22,WHATABURGER,BURGER,2698,3197,114,730,844,14
23,WINGSTOP,CHICKEN,2000,1489,1506,32,1538,153
24,ZAXBY'S,CHICKEN,2000,2200,760,145,905,10
25,HARDEE'S,BURGER,2000,1100,1563,203,1766,-64
26,CULVER'S,BURGER,1986,2624,776,6,782,50
27,JIMMY JOHN'S,SANDWICH,1925,772,2662,43,2705,-82
28,RAISING CANE'S,CHICKEN,1722,3850,92,417,509,52
29,FIVE GUYS,BURGER,1711,2575,938,444,1382,14
30,JERSEY MIKE'S,SANDWICH,1595,936,1842,14,1856,189
31,CARL'S JR.,BURGER,1500,1400,1031,48,1079,-21
32,BOJANGLES,CHICKEN,1374,1861,432,326,758,12
33,IN-N-OUT BURGER,BURGER,1100,3060,0,365,365,11
34,EL POLLO LOCO,CHICKEN,880,1837,283,199,482,0
35,DEL TACO,GLOBAL,857,1516,301,295,596,0
36,CHECKERS/RALLY'S,BURGER,854,1030,594,264,858,-17
37,FIREHOUSE SUBS,SANDWICH,840,741,1102,38,1140,-2
38,KRISPY KREME,SNACK,830,2259,83,276,369,4
39,PAPA MURPHY'S,PIZZA,805,622,1233,59,1292,-37
40,STEAK 'N' SHAKE,BURGER,800,1563,276,280,556,-54
41,QDOBA,GLOBAL,787,1086,406,344,750,20
42,MARCO'S PIZZA,PIZZA,760,838,912,42,954,39
43,CHURCH'S CHICKEN,CHICKEN,741,820,753,160,913,-27
44,TIM HORTONS,SANDWICH,702,1109,633,0,633,-23
45,TROPICAL SMOOTHIE CAFÉ,SNACK,690,841,913,1,914,80
46,FREDDY'S FROZEN CUSTARD & STEAKBURGERS,BURGER,643,1681,356,32,388,20
47,MCALISTER'S DELI,SANDWICH,625,1418,449,32,481,12
48,BASKIN-ROBBINS,SNACK,620,248,2419,0,2419,-105
49,WHITE CASTLE,BURGER,565,1527,0,365,365,-10
50,MOE'S,GLOBAL,561,815,680,1,681,-41
